Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;Réglementaire;type d'évaluation;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2021/01/01 00:00:00;2021/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR02043;Marignane;Urbaine;CO;Fond;Oui;mesures fixes;Moy. annuelle;0.29;0.2947195499942597;mg-m3;99.0;100.0;99.0;R;1;43.4165306;5.222281
2021/01/01 00:00:00;2021/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04012;Place Victor Basch;Urbaine;CO;Trafic;Oui;mesures fixes;Moy. annuelle;0.46;0.463945205479452;mg-m3;96.0;5.0;5.0;N;-1;48.827778;2.3275
2021/01/01 00:00:00;2021/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04018;AUBERVILLIERS;Urbaine;CO;Fond;Oui;mesures fixes;Moy. annuelle;0.33;0.33454629629629623;mg-m3;90.0;1.0;1.0;N;-1;48.9039;2.3847
2021/01/01 00:00:00;2021/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04055;PARIS 1er Les Halles;Urbaine;CO;Fond;Oui;mesures fixes;Moy. annuelle;0.36;0.3610192307692308;mg-m3;87.0;1.0;1.0;N;-1;48.86212;2.344616
2021/01/01 00:00:00;2021/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04058;Auto A1 -Saint-Denis;Urbaine;CO;Trafic;Oui;mesures fixes;Moy. annuelle;0.41;0.4069977069479468;mg-m3;100.0;100.0;100.0;R;1;48.925278;2.356667
2021/01/01 00:00:00;2021/12/31 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05083;Gonfreville l Orcher;Urbaine;CO;Industrielle;Oui;mesures indicatives;Moy. annuelle;0.22;0.2155509843513374;mg-m3;;;;R;1;49.50273;0.232486
2021/01/01 00:00:00;2021/12/31 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05084;NDGravenchon Pasteur;Urbaine;CO;Industrielle;Oui;mesures indicatives;Moy. annuelle;0.21;0.20524568081991232;mg-m3;;;;R;1;49.493332;0.571853
2021/01/01 00:00:00;2021/12/31 23:59:59;ATMO NOUVELLE-AQUITAINE;FR75ZAR02;ZAR POITIERS;FR09404;Poitiers Centre  Augouard;Urbaine;CO;Fond;Oui;mesures indicatives;Moy. annuelle;0.26;0.26360564779338747;mg-m3;;;;R;1;46.583998;0.345582
2021/01/01 00:00:00;2021/12/31 23:59:59;ATMO HAUTS DE FRANCE;FR32ZAR01;ZAR COTE-D-OPALE;FR10034;Grande-synthe;Urbaine;CO;Industrielle;Oui;estimation objective;Moy. annuelle;0.22;0.2187269713473827;mg-m3;96.0;100.0;96.0;R;1;51.02446;2.30215
2021/01/01 00:00:00;2021/12/31 23:59:59;ATMO HAUTS DE FRANCE;FR32ZAG02;ZAG LILLE;FR11034;Roubaix Serres;Urbaine;CO;Trafic;Oui;estimation objective;Moy. annuelle;0.15;0.1468441588514517;mg-m3;99.0;100.0;99.0;R;1;50.706535;3.18066
2021/01/01 00:00:00;2021/12/31 23:59:59;ATMO GRAND EST;FR44ZRE01;ZR GRAND-EST;FR16069;Mulhouse-Briand;Urbaine;CO;Trafic;Oui;mesures fixes;Moy. annuelle;0.25;0.2535491025494463;mg-m3;100.0;100.0;100.0;R;1;47.747684;7.321364
2021/01/01 00:00:00;2021/12/31 23:59:59;ATMO HAUTS DE FRANCE;FR32ZAR03;ZAR CREIL;FR18043;Faiencerie Creil;Urbaine;CO;Fond;Oui;estimation objective;Moy. annuelle;0.097;0.09702250181466239;mg-m3;85.0;55.0;47.0;R;1;49.259552;2.474397
2021/01/01 00:00:00;2021/12/31 23:59:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG01;ZAG LYON;FR20069;Lyon Périphérique;Urbaine;CO;Trafic;Oui;estimation objective;Moy. annuelle;0.27;0.27441956018518465;mg-m3;99.0;100.0;99.0;R;1;45.77482;4.898572
2021/01/01 00:00:00;2021/12/31 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23140;VICTOR HUGO;Urbaine;CO;Trafic;Oui;mesures fixes;Moy. annuelle;0.24;0.23942074363992247;mg-m3;98.0;42.0;41.0;N;-1;47.204356;-1.552914
2021/01/01 00:00:00;2021/12/31 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23251;FRERES GONCOURT;Urbaine;CO;Trafic;Oui;mesures fixes;Moy. annuelle;0.24;0.24124242424242426;mg-m3;69.0;1.0;0.0;N;-1;47.204122;-1.564811
2021/01/01 00:00:00;2021/12/31 23:59:59;ATMO NORMANDIE;FR28ZAG01;ZAG ROUEN;FR25053;Rouen Proxi Quai de Paris;Urbaine;CO;Trafic;Oui;mesures fixes;Moy. annuelle;0.24;0.23798123633014942;mg-m3;99.0;100.0;99.0;R;1;49.436699;1.098838
2021/01/01 00:00:00;2021/12/31 23:59:59;LIG'AIR;FR24ZAG01;ZAG TOURS;FR34028;Pompidou;Urbaine;CO;Trafic;Oui;mesures fixes;Moy. annuelle;0.21;0.20823186543628086;mg-m3;98.0;100.0;98.0;R;1;47.394639;0.704861
2021/01/01 00:00:00;2021/12/31 23:59:59;ATMO REUNION;FR04ZAR02;ZAR VOLCAN;FR38023;BD BANKS;Urbaine;CO;Trafic;Oui;estimation objective;Moy. annuelle;0.21;0.2109794512268828;mg-m3;95.0;99.0;94.0;R;1;-21.331703;55.478949
2021/01/01 00:00:00;2021/12/31 23:59:59;QUALITAIR CORSE;FR94ZAR01;ZAR AJACCIO;FR41059;AJACCIO ABBATUCCI;Urbaine;CO;Trafic;Oui;estimation objective;Moy. annuelle;0.54;0.5378139037433154;mg-m3;93.0;69.0;64.0;R;1;41.92575;8.738278
2021/01/01 00:00:00;2021/12/31 23:59:59;HAWA MAYOTTE;FR06ZRE01;ZR MAYOTTE;FR43099;Kawéni Nord;Périurbaine;CO;Trafic;Oui;mesures indicatives;Moy. annuelle;0.24;0.23701142421934504;mg-m3;;;;N;-1;-12.761174;45.226197
