Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;Réglementaire;type d'évaluation;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2020/01/01 00:00:00;2020/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR02043;Marignane;Urbaine;CO;Fond;Oui;mesures fixes;Moy. annuelle;0.26;0.2627673754000913;mg-m3;100.0;100.0;100.0;R;1;43.4165306;5.222281
2020/01/01 00:00:00;2020/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04012;Place Victor Basch;Urbaine;CO;Trafic;Oui;mesures fixes;Moy. annuelle;0.39;0.38760219024576503;mg-m3;95.0;94.0;89.0;R;1;48.827778;2.3275
2020/01/01 00:00:00;2020/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04018;AUBERVILLIERS;Urbaine;CO;Fond;Oui;mesures fixes;Moy. annuelle;0.17;0.17093179657794735;mg-m3;96.0;100.0;96.0;R;1;48.9039;2.3847
2020/01/01 00:00:00;2020/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04055;PARIS 1er Les Halles;Urbaine;CO;Fond;Oui;mesures fixes;Moy. annuelle;0.21;0.20508775360547596;mg-m3;93.0;100.0;93.0;R;1;48.86212;2.344616
2020/01/01 00:00:00;2020/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04058;Auto A1 -Saint-Denis;Urbaine;CO;Trafic;Oui;mesures fixes;Moy. annuelle;0.36;0.3601326872043395;mg-m3;99.0;100.0;99.0;R;1;48.925278;2.356667
2020/01/01 00:00:00;2020/12/31 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05083;Gonfreville l Orcher;Urbaine;CO;Industrielle;Oui;mesures fixes;Moy. annuelle;0.19;0.19044290197972016;mg-m3;94.0;100.0;94.0;R;1;49.50273;0.232486
2020/01/01 00:00:00;2020/12/31 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05084;NDGravenchon Pasteur;Urbaine;CO;Industrielle;Oui;mesures fixes;Moy. annuelle;0.17;0.1665533365223623;mg-m3;95.0;100.0;95.0;R;1;49.493332;0.571853
2020/01/01 00:00:00;2020/12/31 23:59:59;ATMO NOUVELLE-AQUITAINE;FR75ZAR02;ZAR POITIERS;FR09404;Poitiers Centre  Augouard;Urbaine;CO;Fond;Oui;mesures indicatives;Moy. annuelle;0.25;0.25292381749686066;mg-m3;;;;N;-1;46.583998;0.345582
2020/01/01 00:00:00;2020/12/31 23:59:59;ATMO HAUTS DE FRANCE;FR32ZAR01;ZAR COTE-D-OPALE;FR10034;Grande-synthe;Urbaine;CO;Industrielle;Oui;estimation objective;Moy. annuelle;0.26;0.26149334423166715;mg-m3;97.0;100.0;97.0;R;1;51.02446;2.30215
2020/01/01 00:00:00;2020/12/31 23:59:59;ATMO HAUTS DE FRANCE;FR32ZAG02;ZAG LILLE;FR11034;Roubaix Serres;Urbaine;CO;Trafic;Oui;estimation objective;Moy. annuelle;0.24;0.2382501855058128;mg-m3;93.0;99.0;92.0;R;1;50.706535;3.18066
2020/01/01 00:00:00;2020/12/31 23:59:59;ATMO GRAND EST;FR44ZRE01;ZR GRAND-EST;FR16069;Mulhouse-Briand;Urbaine;CO;Trafic;Oui;mesures fixes;Moy. annuelle;0.27;0.2715066759549524;mg-m3;98.0;100.0;98.0;R;1;47.747684;7.321364
2020/01/01 00:00:00;2020/12/31 23:59:59;ATMO HAUTS DE FRANCE;FR32ZAR03;ZAR CREIL;FR18043;Faiencerie Creil;Urbaine;CO;Fond;Oui;estimation objective;Moy. annuelle;0.08;0.07956822810590615;mg-m3;63.0;27.0;17.0;R;1;49.259552;2.474397
2020/01/01 00:00:00;2020/12/31 23:59:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG01;ZAG LYON;FR20069;Lyon Périphérique;Urbaine;CO;Trafic;Oui;estimation objective;Moy. annuelle;0.31;0.31482894286691687;mg-m3;100.0;100.0;100.0;R;1;45.77482;4.898572
2020/01/01 00:00:00;2020/12/31 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23140;VICTOR HUGO;Urbaine;CO;Trafic;Oui;mesures fixes;Moy. annuelle;0.2;0.20027833605982714;mg-m3;97.0;100.0;97.0;R;1;47.204356;-1.552914
2020/01/01 00:00:00;2020/12/31 23:59:59;ATMO NORMANDIE;FR28ZAG01;ZAG ROUEN;FR25053;Rouen Proxi Quai de Paris;Urbaine;CO;Trafic;Oui;mesures fixes;Moy. annuelle;0.28;0.28436134764901916;mg-m3;92.0;100.0;92.0;R;1;49.436699;1.098838
2020/01/01 00:00:00;2020/12/31 23:59:59;LIG'AIR;FR24ZAG01;ZAG TOURS;FR34028;Pompidou;Urbaine;CO;Trafic;Oui;mesures fixes;Moy. annuelle;0.15;0.15120415879016952;mg-m3;96.0;100.0;96.0;R;1;47.394639;0.704861
2020/01/01 00:00:00;2020/12/31 23:59:59;GWAD'AIR;FR01ZAG01;ZAG POINTE-A-PITRE;FR37007;ST Vieux Bourg ABYMES;Périurbaine;CO;Trafic;Oui;estimation objective;Moy. annuelle;0.42;0.4164393611261495;mg-m3;98.0;86.0;84.0;R;1;16.25066;-61.527794
2020/01/01 00:00:00;2020/12/31 23:59:59;ATMO REUNION;FR04ZAR02;ZAR VOLCAN;FR38023;BD BANKS;Urbaine;CO;Trafic;Oui;estimation objective;Moy. annuelle;0.23;0.22677507047925968;mg-m3;77.0;73.0;57.0;R;1;-21.331703;55.478949
2020/01/01 00:00:00;2020/12/31 23:59:59;QUALITAIR CORSE;FR94ZAR01;ZAR AJACCIO;FR41059;AJACCIO ABBATUCCI;Urbaine;CO;Trafic;Oui;estimation objective;Moy. annuelle;0.51;0.5100885058809852;mg-m3;99.0;99.0;98.0;R;1;41.92575;8.738278
2020/01/01 00:00:00;2020/12/31 23:59:59;HAWA MAYOTTE;FR06ZRE01;ZR MAYOTTE;FR43099;Kawéni Nord;Périurbaine;CO;Trafic;Oui;mesures indicatives;Moy. annuelle;0.35;0.3529850896297537;mg-m3;;;;R;1;-12.761174;45.226197
