Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;Réglementaire;type d'évaluation;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2021/01/01 00:00:00;2021/12/31 23:59:59;ATMO GRAND EST;FR44ZAG02;ZAG METZ;FR01005;Hayange;Périurbaine;PM10;Industrielle;Oui;mesures indicatives;Moy. annuelle;18.0;18.347480106100793;µg-m3;;;;N;-1;49.324722;6.076108
2021/01/01 00:00:00;2021/12/31 23:59:59;ATMO GRAND EST;FR44ZAG02;ZAG METZ;FR01011;Metz-Centre;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. annuelle;14.0;13.90530466861722;µg-m3;90.0;100.0;90.0;R;1;49.119442;6.180833
2021/01/01 00:00:00;2021/12/31 23:59:59;ATMO GRAND EST;FR44ZAG02;ZAG METZ;FR01012;Metz-Borny;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. annuelle;11.0;11.412553750597278;µg-m3;96.0;100.0;96.0;R;1;49.110283;6.223336
2021/01/01 00:00:00;2021/12/31 23:59:59;ATMO GRAND EST;FR44ZRE01;ZR GRAND-EST;FR01014;Pont-à-Mousson;Urbaine;PM10;Fond;Oui;mesures indicatives;Moy. annuelle;13.0;12.56253903435023;µg-m3;;;;R;1;48.915;6.058336
2021/01/01 00:00:00;2021/12/31 23:59:59;ATMO GRAND EST;FR44ZRE01;ZR GRAND-EST;FR01015;Blénod-lès-PAM;Urbaine;PM10;Industrielle;Oui;mesures indicatives;Moy. annuelle;16.0;15.867836257309941;µg-m3;;;;R;1;48.884724;6.051392
2021/01/01 00:00:00;2021/12/31 23:59:59;ATMO GRAND EST;FR44ZAG02;ZAG METZ;FR01019;Thionville-Piscine;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. annuelle;14.0;13.896612191339631;µg-m3;96.0;100.0;96.0;R;1;49.36861;6.160831
2021/01/01 00:00:00;2021/12/31 23:59:59;ATMO GRAND EST;FR44ZAG02;ZAG METZ;FR01020;Thionville-Centre;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. annuelle;14.0;14.240482016148789;µg-m3;93.0;100.0;93.0;R;1;49.358337;6.156942
2021/01/01 00:00:00;2021/12/31 23:59:59;ATMO GRAND EST;FR44ZAG02;ZAG METZ;FR01059;HAYANGE-MARSPICH;Périurbaine;PM10;Industrielle;Oui;mesures indicatives;Moy. annuelle;15.0;14.929661242998142;µg-m3;;;;R;1;49.3374;6.08207
2021/01/01 00:00:00;2021/12/31 23:59:59;ATMO GRAND EST;FR44ZAG02;ZAG METZ;FR01064;Metz- Pont Grilles;Urbaine;PM10;Trafic;Oui;mesures fixes;Moy. annuelle;16.0;15.69251812017767;µg-m3;98.0;100.0;98.0;R;1;49.12508;6.181219
2021/01/01 00:00:00;2021/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR02008;Port de Bouc Leque;Urbaine;PM10;Industrielle;Oui;mesures fixes;Moy. annuelle;22.0;21.6416318477251;µg-m3;98.0;100.0;98.0;R;1;43.401952;4.981919
2021/01/01 00:00:00;2021/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR02009;Port Saint Louis;Périurbaine;PM10;Industrielle;Oui;mesures fixes;Moy. annuelle;17.0;16.50157443852744;µg-m3;99.0;100.0;99.0;R;1;43.39378;4.801024
2021/01/01 00:00:00;2021/12/31 23:59:59;ATMO SUD;FR93ZRE01;ZR PROVENCE-ALPES-COTE D’AZUR;FR02022;Arles;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. annuelle;19.0;19.03146302448623;µg-m3;96.0;96.0;93.0;R;1;43.675114;4.62921
2021/01/01 00:00:00;2021/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR02029;Chateauneuf La Mede;Périurbaine;PM10;Industrielle;Oui;mesures fixes;Moy. annuelle;21.0;20.651926929876286;µg-m3;98.0;99.0;97.0;R;1;43.399546;5.113214
2021/01/01 00:00:00;2021/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR02041;SALON;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. annuelle;16.0;16.051954602774295;µg-m3;100.0;100.0;100.0;R;1;43.639002;5.101097
2021/01/01 00:00:00;2021/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR02043;Marignane;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. annuelle;20.0;19.81094670682204;µg-m3;98.0;89.0;87.0;R;1;43.4165306;5.222281
2021/01/01 00:00:00;2021/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03006;MARSEILLE RABATAU;Urbaine;PM10;Trafic;Oui;mesures fixes;Moy. annuelle;32.0;32.36754182156128;µg-m3;98.0;100.0;98.0;R;1;43.276451;5.39736
2021/01/01 00:00:00;2021/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03014;MARSEILLE ST LOUIS;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. annuelle;22.0;22.202164351851927;µg-m3;99.0;99.0;99.0;R;1;43.348048;5.360119
2021/01/01 00:00:00;2021/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03021;AIX ROY RENE;Urbaine;PM10;Trafic;Oui;mesures fixes;Moy. annuelle;20.0;20.328868360277166;µg-m3;99.0;100.0;99.0;R;1;43.524075;5.448164
2021/01/01 00:00:00;2021/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03029;AIX CENTRE ECOLE ART;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. annuelle;18.0;17.786791579921353;µg-m3;99.0;100.0;99.0;R;1;43.530285;5.440912
2021/01/01 00:00:00;2021/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03030;GARDANNE;Périurbaine;PM10;Industrielle;Oui;mesures fixes;Moy. annuelle;25.0;24.888153350218484;µg-m3;99.0;100.0;99.0;R;1;43.453584;5.466672
2021/01/01 00:00:00;2021/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03043;MARSEILLE 5 AVENUES;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. annuelle;19.0;18.655055653192775;µg-m3;98.0;99.0;97.0;R;1;43.305287;5.394716
2021/01/01 00:00:00;2021/12/31 23:59:59;ATMO SUD;FR93ZRE01;ZR PROVENCE-ALPES-COTE D’AZUR;FR03067;BRIGNOLES;Périurbaine;PM10;Fond;Oui;mesures fixes;Moy. annuelle;18.0;18.30107663811075;µg-m3;99.0;100.0;99.0;R;1;43.398731;6.075611
2021/01/01 00:00:00;2021/12/31 23:59:59;ATMO SUD;FR93ZAG03;ZAG TOULON;FR03068;TOULON FOCH;Urbaine;PM10;Trafic;Oui;mesures fixes;Moy. annuelle;25.0;25.250460405156584;µg-m3;99.0;100.0;99.0;R;1;43.126821;5.921605
2021/01/01 00:00:00;2021/12/31 23:59:59;ATMO SUD;FR93ZAG03;ZAG TOULON;FR03069;HYERES;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. annuelle;15.0;14.667376171352137;µg-m3;85.0;100.0;85.0;R;1;43.119737;6.131319
2021/01/01 00:00:00;2021/12/31 23:59:59;ATMO SUD;FR93ZAR01;ZAR FREJUS-DRAGUIGNAN;FR03070;ESTEREL;Périurbaine;PM10;Fond;Oui;mesures fixes;Moy. annuelle;17.0;17.447741415072667;µg-m3;99.0;100.0;99.0;R;1;43.437874;6.76839
2021/01/01 00:00:00;2021/12/31 23:59:59;ATMO SUD;FR93ZAG03;ZAG TOULON;FR03071;TOULON CLARET;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. annuelle;21.0;20.586501092330693;µg-m3;99.0;100.0;99.0;R;1;43.131113;5.924184
2021/01/01 00:00:00;2021/12/31 23:59:59;ATMO SUD;FR93ZAG04;ZAG AVIGNON;FR03080;AVIGNON   MAIRIE;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. annuelle;16.0;16.118087175380396;µg-m3;100.0;100.0;100.0;R;1;43.949673;4.804341
2021/01/01 00:00:00;2021/12/31 23:59:59;ATMO SUD;FR93ZAG04;ZAG AVIGNON;FR03087;Avignon Semard;Urbaine;PM10;Trafic;Oui;mesures fixes;Moy. annuelle;20.0;20.055171614100207;µg-m3;98.0;100.0;98.0;R;1;43.93706;4.824909
